32489,CC(C)(C)/C(=C(\c1ccccc1)C(C)(C)C)c1ccccc1
36487,[Se-2].[TlH2+].[TlH2+]
29089,CCCC[P+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F
27079,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1
4938,CCCCC(O)CCCC
19034,CCC=CC(=O)CC(C)C
3297,COCC(O)COOC(C)(C)C
4737,O=C(NCCO)N(c1ccccc1)c1ccccc1
8401,Br[C@H]1CC[C@H](Br)CC1
1142,CCCCCCCCCCCCCCCCCCN
28919,O=C1COc2ccccc21
22910,C=C[Si]1(C)CCC1
18033,CCCC(C1CCCC2CCCCC21)C1CCCC2CCCCC21
24876,COS(=O)(=O)[O-].C[n+]1ccn(Cc2ccccc2)c1
5910,C=CC(N)=O
30523,CCOC(=O)c1ccc[nH]1
33437,CCCCCCCCOc1ccc(/C=N/c2ccc(OCCCCC)cc2)cc1
31965,CCCCOC(=O)c1ccc2cc(C(=O)OCCCC)ccc2c1
6086,CC(C)(C)c1ccc(OC(=O)c2ccccc2O)cc1
607,CC(C)CC(=O)CC(C)C
4439,CC(C)CC=O
39041,Nc1ncc(Br)nc1Br
18696,CC(Cl)=CCCC=C(C)Cl
25875,C[C@@H]1CCCCC[C@H]1C
22002,CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O
33961,C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C=O
26611,O=C([O-])C12CC3CC(CC(C3)C1)C2.[K+]
24099,O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Cd+2]
10729,Cn1c(Cl)c(Br)c(Br)c1-c1c(Br)c(Br)c(Br)n1C
8899,CCC(C)=Cc1ccccc1
23457,O=S(=O)([O-])[O-].[Co+2]
15077,CCCCCCCCCCCCCCCCc1cccc(C)c1
17315,C=CCc1ccc(CC=C)cc1
22352,c1ccc(-c2ccc(C3CCC3)cc2)cc1
21898,C=CC1(C)CCOCO1
20181,[NH3+]C1CCCCC1
24567,N#Cc1c(O)ccc(O)c1C#N
8318,[2H]OC(C)=O
5252,CCCOC(=O)C(C)C
4528,CC(Br)C(C)(C)Br
32332,CN(C)c1ccc(C=C(C#N)C#N)cc1
30757,CCC1CCCS1
27896,Nc1ccccc1.Nc1ccccc1.[Br-].[Br-].[Cu+2]
19880,Nc1nc(N)c([N+](=O)[O-])cc1[N+](=O)[O-]
17188,CC(C)(CCCO)CCCO
3861,C=C(Br)CBr
32106,Br.CC(C)CN
19178,C=C1CCOCO1
17870,CC1CCCCC1CC1CCCCC1
10694,FCOC(F)(F)C(F)(F)C(F)(F)F
11186,Cc1ccc(CC(C)C)cc1
3537,CC(C)(C)CC(=O)CC(C)(C)C
37922,CCCCn1cc[n+](C)c1.C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C
1070,CCNc1nc(Cl)nc(NCC)n1
16823,CCCCCCCCCCCCC1c2ccccc2-c2ccccc21
22833,CC(C)(C)C(=O)C(=O)C(C)(C)C
25310,CC[N+](C)(CC)CC.COS(=O)(=O)[O-]
31661,OC/C=C/c1ccc(O)cc1
9946,O=[N+]([O-])c1ccc(Nc2ccc(O)cc2)cc1
40292,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC[C@@H](C)C=C21
33665,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1
39402,CCCCCCCC/C=C\CCCCCCCC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC
15011,CCc1ccc(CC)c(Br)c1
22441,Brc1ccc(Oc2ccccc2Br)cc1Br
26677,Cc1ccc([C@@]2(O)c3cccc4cccc(c34)[C@]2(O)c2ccc(C)cc2C)c(C)c1
22679,O=[N+]([O-])c1ccc(/[N+]([O-])=N/c2ccccc2)cc1
37864,O=[N+]([O-])c1cccc(C2=CS(=O)(=O)OC(c3cccc([N+](=O)[O-])c3)=C2)c1
32853,Oc1ccc2ccccc2c1-c1c(OCc2ccccc2)ccc2ccccc12
28670,C[C@]1(CCl)[C@H]2CC(Cl)(Cl)[C@]1(C(Cl)Cl)CC2(Cl)Cl
26915,Clc1nc[nH]c1Cl
21409,CO/C=C/c1ccccc1
15952,CC(C)(Cl)Cc1ccccc1
32434,CCCCCCCCCC[N+](C)(C)C(C)C
5358,COP(=O)(Cl)Cl
8212,O=c1nc([N+](=O)[O-])[nH][nH]1
22454,C=CCOC(=O)C(C)(C)OC(C)=O
7408,Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1
17602,CCCC(C)CI
40147,CCCOC(=O)CCOC(C)=O
6969,NCCc1ccc(C(F)(F)F)cc1
9052,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CCCC[C@]4(C)[C@H]3CC[C@@]21C
34216,OCCOCc1ccccc1
4395,C=CCCCCCCCCC=C
7043,CC1(C)C2CC3C1C3(C)C2
12222,CCOCCC(C)C
24520,CNC(=O)c1ccccc1C
35024,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1
16940,CC1(C2CCCCC2)CCCCC1
39188,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSCCCn1cc[n+](CCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.[Br-]
37880,COCCOC.COCCOC.COCCOC.O=S(=O)(F)[N-]S(=O)(=O)F.[Na+]
39870,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCC(=O)[O-]
37178,O.O.O.O.O.O.O.O=C([O-])c1cc(O)cc(O)c1.O=C([O-])c1cc(O)cc(O)c1.O=C([O-])c1cc(O)cc(O)c1.[Yb+3]
