"id","smiles"
22090,Cn1c2ccccc2c(=O)c2c([N+](=O)[O-])cccc21
10221,CCC([N+](=O)[O-])([N+](=O)[O-])C(C)(C)[N+](=O)[O-]
34053,CC(C)[C@H](/N=C/c1ccccc1O)C(=O)[O-]
23978,CC(C)[C@H]1CC[C@H](C)C[C@@H]1OS(=O)(=O)[O-]
22899,O=[N+]([O-])OC1C2OC2C(O[N+](=O)[O-])C(O[N+](=O)[O-])C1O[N+](=O)[O-]
30473,CCCOC[n+]1ccc(N(C)C)cc1
19338,CCCCC[N+](CC)(CC)CC
32172,O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F
41061,O=C(CBr)c1ccc([N+](=O)[O-])cc1
25679,Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1
31413,O=[N+]([O-])OC12CC3CC(CC(C3)C1)C2
21284,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2cccc(Nc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])n2)c([N+](=O)[O-])c1
35937,N[C@@H](Cc1ccc2ccccc2c1)C(=O)[O-]
36482,C[N+](C)(C)CC(O)CC(=O)O
30544,Cc1cc([N+](=O)[O-])c(S(=O)(=O)O)cc1Cl
23849,O=C([O-])CCC(=O)O
32274,CC(C)c1ccc(C(C#N)=Cc2ccc([N+](=O)[O-])cc2)cc1
26359,CN(C)C1=[S][Cu+2]2([S]=C(N(C)C)[S-]2)[S-]1
41089,CCCCN[c+]1c(N(C)C)c1N(C)C
21345,Cc1c(C)[n+]([O-])c(C)c[n+]1[O-]
37927,CCC[n+]1ccn(CCn2cc[n+](CCC)c2)c1
37013,CC1=C(C(=O)/C=C/c2ccc([N+](=O)[O-])cc2)C(c2c(C)[nH]c3ccccc23)c2ccccc2O1
27538,C1CC[NH2+]C1
40648,FC(F)(F)Cn1cc[nH+]c1
36526,COc1cc(C=CC(=O)[O-])ccc1O
37477,C=Cc1ccc(C[N+]2(C)CCCC2)cc1
39487,CCC[n+]1ccn(CCCCn2cc[n+](CCC)c2)c1
27799,CC(C)(C)c1cc2c(O)c(c1)Cc1cc(C(C)(C)C)cc(c1OP(=O)([O-])O)Cc1cc(C(C)(C)C)cc(c1O)Cc1cc(C(C)(C)C)cc(c1OP(=O)([O-])O)C2
21821,CCc1cc(Br)c([N+](=O)[O-])cc1NC(C)=O
37940,CCOCC[n+]1ccn(CC)c1
22885,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])c(C)c2[N+](=O)[O-])c1[N+](=O)[O-]
40585,[CH2+]CC
35945,CCCC[N+]1(CCC#N)CCCCCC1
5953,Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-]
13039,O=[N+]([O-])OCCCC(CO[N+](=O)[O-])O[N+](=O)[O-]
20365,C/N=C(\N)[N+](C)(C)C
37155,CC(=O)/C(=N\Nc1ccc([N+](=O)[O-])cc1O)C(=O)c1ccccc1
20239,[Sb+3]
3467,COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-]
40643,C=C[NH+]1C=CN=C1
35101,O=[Nb]([O-])([O-])[O-]
33519,[C-]#[N+]C(C)C
32112,COC(=O)c1cccc(C(=O)[O-])c1
7054,COC(=O)c1ccc([N+](=O)[O-])o1
20227,NC(CCC(=O)[O-])C(=O)O
35150,CCC1c2cc(c(O)c(CS(=O)(=O)[O-])c2O)C(CC)c2cc(c(O)c(CS(=O)(=O)[O-])c2O)C(CC)c2cc(c(O)c(CS(=O)(=O)[O-])c2O)C(CC)c2cc1c(O)c(CS(=O)(=O)[O-])c2O
22016,[N-]=[N+]=N
26399,CCCCCCCN=[N+]=[N-]
36668,C=Cc1ccc(C[N+](C)(C)C)cc1
